Season,name,position,team,total_points,bps,clean_sheets,bonus,influence,ict_index,minutes,goals_scored,threat,assists,creativity,value,selected
2021-22,Alex Nicolao Telles,DEF,Man Utd,1,12,0,0,13.8,4.4,90,0,4.0,0,26.3,50,9011
2021-22,Takehiro Tomiyasu,DEF,Arsenal,1,11,0,0,13.2,3.2,90,0,0.0,0,18.4,46,329334
2021-22,Harry Maguire,DEF,Man Utd,1,14,0,0,24.0,3.4,90,0,8.0,0,1.8,54,401476
2021-22,Victor Lindelöf,DEF,Man Utd,1,16,0,0,18.0,3.6,90,0,17.0,0,1.0,48,41053
2021-22,José Diogo Dalot Teixeira,DEF,Man Utd,1,18,0,0,18.8,3.1,90,0,9.0,0,3.0,44,6419
2021-22,Ben White,DEF,Arsenal,1,15,0,0,20.8,5.3,90,0,18.0,0,14.6,44,1025891
2021-22,Gabriel Magalhães,DEF,Arsenal,1,16,0,0,15.2,3.5,90,0,19.0,0,0.8,51,238788
2021-22,Nuno Varela Tavares,DEF,Arsenal,1,17,0,0,18.4,4.9,90,0,8.0,0,22.8,43,54872
2021-22,Sergio Reguilón,DEF,Spurs,12,35,1,3,29.8,6.3,90,0,6.0,1,26.8,51,1198859
2021-22,Eric Dier,DEF,Spurs,6,25,1,0,12.6,1.3,90,0,0.0,0,0.3,45,450337
2021-22,Charlie Goode,DEF,Brentford,1,13,0,0,14.0,2.1,90,0,2.0,0,5.2,39,161059
2021-22,Pontus Jansson,DEF,Brentford,1,15,0,0,16.8,4.0,90,0,12.0,0,10.8,47,720574
2021-22,Japhet Tanganga,DEF,Spurs,1,3,0,0,0.4,1.8,7,0,18.0,0,0.0,43,102438
2021-22,Emerson Aparecido Leite de Souza Junior,DEF,Spurs,8,28,1,2,10.6,1.3,82,0,0.0,0,2.3,49,49969
2021-22,Rico Henry,DEF,Brentford,1,11,0,0,10.0,1.3,90,0,0.0,0,3.0,45,136460
2021-22,Ethan Pinnock,DEF,Brentford,1,13,0,0,12.0,1.7,90,0,4.0,0,0.8,46,477352
2021-22,Davinson Sánchez,DEF,Spurs,6,24,1,0,6.6,1.7,90,0,9.0,0,1.2,45,90319
2021-22,Ben Davies,DEF,Spurs,6,20,1,0,18.6,3.9,90,0,19.0,0,1.1,44,23671
2021-22,Trent Alexander-Arnold,DEF,Liverpool,2,22,0,0,17.6,5.9,90,0,7.0,0,34.6,80,3351242
2021-22,Virgil van Dijk,DEF,Liverpool,1,10,0,0,18.8,2.7,90,0,8.0,0,0.5,66,1539620
2021-22,Ben Godfrey,DEF,Everton,0,9,0,0,18.0,1.8,90,0,0.0,0,0.3,48,41982
2021-22,Joel Matip,DEF,Liverpool,2,13,0,0,21.6,3.0,90,0,8.0,0,0.5,50,200271
2021-22,Oleksandr Zinchenko,DEF,Man City,2,21,0,0,24.2,5.3,90,0,11.0,0,17.7,53,58667
