Season,name,position,team,total_points,bps,clean_sheets,minutes,bonus,influence,ict_index,saves,value,selected,penalties_saved,transfers_in
2021-22,David de Gea,GK,Man Utd,2,17,0,90,0,34.4,3.4,5,50,473518,0,19470
2021-22,Aaron Ramsdale,GK,Arsenal,3,23,0,90,0,47.4,4.7,7,49,1125402,0,74772
2021-22,Hugo Lloris,GK,Spurs,7,26,1,90,1,20.4,2.0,2,54,743921,0,13230
2021-22,Álvaro Fernández,GK,Brentford,2,20,0,90,0,38.8,3.9,5,45,50139,0,5442
2021-22,Jordan Pickford,GK,Everton,1,15,0,90,0,18.8,1.9,3,50,384835,0,878
2021-22,Emiliano Martínez,GK,Aston Villa,2,18,0,90,0,30.8,3.1,5,55,1207781,0,4040
2021-22,Ederson Santana de Moraes,GK,Man City,2,10,0,90,0,19.4,1.9,2,60,795226,0,13080
2021-22,Alisson Ramses Becker,GK,Liverpool,2,14,0,90,0,13.6,1.4,1,60,676804,0,11180
2021-22,Lukasz Fabianski,GK,West Ham,2,10,0,90,0,18.0,1.8,2,50,195307,0,5504
2021-22,Robert Sánchez,GK,Brighton,4,23,0,90,1,29.2,2.9,4,46,1652925,0,16178
2021-22,Edouard Mendy,GK,Chelsea,4,20,0,90,0,43.0,4.3,6,63,1764727,0,41444
2021-22,Alex McCarthy,GK,Southampton,2,17,0,90,0,31.6,4.2,4,46,431841,0,9251
2021-22,Daniel Bachmann,GK,Watford,1,13,0,90,0,18.8,1.9,2,42,93486,0,7428
2021-22,Kasper Schmeichel,GK,Leicester,2,19,0,90,0,38.6,3.9,5,49,1261556,0,9090
2021-22,Nick Pope,GK,Burnley,6,24,1,90,0,13.8,1.4,2,54,213694,0,905
2021-22,José Malheiro de Sá,GK,Wolves,6,25,1,90,0,13.4,1.3,1,50,266044,0,39871
2021-22,Illan Meslier,GK,Leeds,8,26,1,90,2,14.0,1.4,1,49,225468,0,5415
2021-22,Vicente Guaita,GK,Crystal Palace,2,12,0,90,0,16.2,1.6,2,46,717107,0,12287
2021-22,Tim Krul,GK,Norwich,2,7,0,90,0,3.2,0.3,0,45,144668,0,8572
2021-22,Martin Dubravka,GK,Newcastle,3,19,0,90,0,35.8,3.6,5,44,17005,0,7849
2021-22,Edouard Mendy,GK,Chelsea,2,8,0,90,0,3.8,0.4,1,63,1730856,0,45351
2021-22,David de Gea,GK,Man Utd,3,18,0,90,0,41.0,4.1,5,50,458258,0,8321
2021-22,Lukasz Fabianski,GK,West Ham,3,19,0,90,0,47.2,4.7,6,50,192058,0,2704
2021-22,Ederson Santana de Moraes,GK,Man City,2,18,0,90,0,15.2,1.5,2,60,791220,0,14258
2021-22,Álvaro Fernández,GK,Brentford,9,33,1,90,2,41.4,4.1,5,45,46886,0,1510
2021-22,Jordan Pickford,GK,Everton,3,16,0,90,0,22.6,2.3,3,50,394101,0,2268
2021-22,Kasper Schmeichel,GK,Leicester,2,15,0,90,0,24.0,2.4,3,50,1277883,0,6723
2021-22,Daniel Bachmann,GK,Watford,1,17,0,90,0,30.6,3.1,4,42,87592,0,606
2021-22,Robert Sánchez,GK,Brighton,8,29,1,90,1,33.2,3.3,4,46,1646164,0,10461
2021-22,Illan Meslier,GK,Leeds,8,29,1,90,1,22.8,2.3,4,49,223062,0,1403
2021-22,José Malheiro de Sá,GK,Wolves,10,30,1,90,3,33.4,3.3,4,50,229810,0,26022
2021-22,Alisson Ramses Becker,GK,Liverpool,7,37,1,90,0,31.8,3.2,3,60,683223,0,29261
2021-22,Tim Krul,GK,Norwich,6,24,1,90,0,17.2,1.7,2,45,138528,0,6300
2021-22,Alex McCarthy,GK,Southampton,0,11,0,90,0,10.4,1.0,2,46,442082,0,15168
2021-22,Vicente Guaita,GK,Crystal Palace,1,9,0,90,0,10.2,1.0,1,46,719401,0,16578
2021-22,Emiliano Martínez,GK,Aston Villa,2,13,0,90,0,18.6,1.9,2,55,1240545,0,18879
2021-22,Aaron Ramsdale,GK,Arsenal,7,29,1,90,0,30.4,3.0,5,48,1072429,0,116089
2021-22,Martin Dubravka,GK,Newcastle,2,21,0,90,0,32.4,3.2,4,44,9241,0,468
2021-22,Illan Meslier,GK,Leeds,1,12,0,90,0,20.0,2.0,2,49,228668,0,1877
2021-22,Hugo Lloris,GK,Spurs,4,21,0,90,0,38.2,3.8,6,54,744936,0,62085
2021-22,Jordan Pickford,GK,Everton,2,16,0,90,0,25.8,2.6,4,50,399112,0,3131
2021-22,Ederson Santana de Moraes,GK,Man City,6,23,1,90,0,7.2,0.7,1,60,788801,0,28202
2021-22,Aaron Ramsdale,GK,Arsenal,1,21,0,90,0,44.6,4.5,5,48,952960,0,153475
2021-22,Alisson Ramses Becker,GK,Liverpool,8,31,1,90,1,26.6,2.7,3,60,659859,0,10558
2021-22,Lukasz Fabianski,GK,West Ham,3,16,0,90,0,24.2,2.4,4,50,198288,0,17566
2021-22,Emiliano Martínez,GK,Aston Villa,6,23,1,90,0,18.4,1.8,2,55,1243357,0,27997
2021-22,Jason Steele,GK,Brighton,2,17,0,90,0,28.8,2.9,3,40,245349,0,6488
2021-22,Vicente Guaita,GK,Crystal Palace,3,21,0,90,0,43.0,4.3,6,46,723591,0,166429
2021-22,Álvaro Fernández,GK,Brentford,3,22,0,90,0,40.8,4.1,6,45,50675,0,5775
2021-22,Nick Pope,GK,Burnley,2,17,0,90,0,37.6,3.8,5,54,223502,0,6778
2021-22,David de Gea,GK,Man Utd,6,25,0,90,0,42.2,4.2,3,50,469831,1,28515
2021-22,José Malheiro de Sá,GK,Wolves,8,28,1,90,1,15.2,1.5,3,50,204780,0,5727
2021-22,Tim Krul,GK,Norwich,2,15,0,90,0,26.0,2.6,4,45,136244,0,9212
2021-22,Alex McCarthy,GK,Southampton,1,12,0,90,0,14.0,1.4,2,46,471755,0,203388
2021-22,Ben Foster,GK,Watford,5,23,0,90,0,37.0,4.7,2,41,1993395,0,71029
2021-22,Karl Darlow,GK,Newcastle,1,7,0,90,0,4.6,0.5,1,45,43386,0,9006
2021-22,Kasper Schmeichel,GK,Leicester,1,15,0,90,0,32.2,3.2,4,50,1314062,0,10288
2021-22,Edouard Mendy,GK,Chelsea,6,23,1,90,0,15.2,1.5,3,62,1706975,0,68861
2021-22,Lukasz Fabianski,GK,West Ham,2,15,0,90,0,26.2,2.6,3,50,183626,0,6903
2021-22,Alisson Ramses Becker,GK,Liverpool,-1,3,0,90,0,7.2,0.7,1,60,670480,0,13651
2021-22,Ben Foster,GK,Watford,11,36,0,90,3,55.2,5.5,5,41,1936052,1,26505
2021-22,Aaron Ramsdale,GK,Arsenal,7,27,1,90,1,7.6,0.8,1,47,824308,0,234062
2021-22,Illan Meslier,GK,Leeds,2,13,0,90,0,21.8,2.2,2,50,240476,0,1482
2021-22,Jordan Pickford,GK,Everton,6,20,1,90,0,2.2,0.2,0,50,411471,0,2009
2021-22,Hugo Lloris,GK,Spurs,6,25,1,90,0,14.0,1.4,2,54,693686,0,8121
2021-22,Kasper Schmeichel,GK,Leicester,3,19,0,90,0,30.6,3.1,4,50,1356720,0,6405
2021-22,Robert Sánchez,GK,Brighton,-1,1,0,90,0,0.0,0.9,1,46,2009136,0,38299
2021-22,Karl Darlow,GK,Newcastle,3,17,0,90,0,34.8,3.5,4,45,35740,0,910
2021-22,Edouard Mendy,GK,Chelsea,2,9,0,90,0,11.8,1.2,1,62,1671469,0,109663
2021-22,Vicente Guaita,GK,Crystal Palace,6,23,1,90,0,14.8,1.5,2,45,559087,0,22993
2021-22,Álvaro Fernández,GK,Brentford,2,19,0,90,0,22.4,2.2,4,45,52728,0,11298
2021-22,Tim Krul,GK,Norwich,4,23,0,90,0,49.8,5.0,6,45,132407,0,6427
2021-22,José Malheiro de Sá,GK,Wolves,2,18,0,90,0,33.6,3.4,4,50,214570,0,4158
2021-22,Nick Pope,GK,Burnley,3,17,0,90,0,28.4,3.8,4,54,220958,0,1948
2021-22,Ederson Santana de Moraes,GK,Man City,6,20,1,90,0,11.8,1.2,1,60,768180,0,5292
2021-22,David de Gea,GK,Man Utd,2,16,0,90,0,30.8,3.1,5,50,451451,0,9245
2021-22,Emiliano Martínez,GK,Aston Villa,2,11,0,90,0,14.8,1.5,2,55,1251778,0,29755
2021-22,Alex McCarthy,GK,Southampton,9,26,1,90,2,20.8,2.1,3,45,262420,0,30181
2021-22,Jordan Pickford,GK,Everton,1,13,0,90,0,14.8,1.5,2,50,426436,0,5465
2021-22,José Malheiro de Sá,GK,Wolves,3,17,0,90,0,27.2,2.7,4,50,222292,0,16176
2021-22,Emiliano Martínez,GK,Aston Villa,1,16,0,90,0,31.8,3.2,4,55,1253823,0,68407
2021-22,Lukasz Fabianski,GK,West Ham,2,11,0,90,0,18.6,1.9,2,50,185675,0,22275
2021-22,Tim Krul,GK,Norwich,2,12,0,90,0,15.4,1.6,3,45,131370,0,16374
2021-22,Illan Meslier,GK,Leeds,2,14,0,90,0,14.4,1.4,2,50,262452,0,25609
2021-22,David de Gea,GK,Man Utd,6,19,1,90,0,2.8,0.3,0,50,458522,0,7358
